bench,class,latency_preserving,primary_metric,tool,variant,mode,fmax_mhz,fmax_is_lower_bound,min_period_ns,n_runs,n_met,cells_at_fmax,seq_at_fmax,area_at_fmax_um2,wirelength_um,power_mw,compile_seconds_at_fmax
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,genus,orig,on,724.6,,1.38,9,8,24,12,1694.36759675,,9.84258,24.0
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,genus,retimed,off,463.0,,2.16,9,6,84,15,4659.29307075,,11.6393,23.0
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,openroad_syn,directive,unsupported,370.4,yes,2.7,5,5,35,20,,,5.682910000000001,1.0
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,openroad_syn,orig,unsupported,370.4,yes,2.7,5,5,35,20,,,5.682910000000001,1.0
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,openroad_syn,retimed,unsupported,166.7,,6.0,5,2,184,45,,,8.17273,1.0
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,vivado,directive,on,83.3,,12.0,5,1,574,27,,,110.0,40.0
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,vivado,orig,off,83.3,,12.0,5,1,574,27,,,110.0,41.0
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,vivado,orig,on,83.3,,12.0,5,1,574,27,,,110.0,39.0
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,vivado,retimed,off,104.2,,9.6,5,2,566,58,,,119.0,45.0
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,yosys,directive,off,166.7,yes,6.0,1,1,581,29,2816.7552,,3.62,2.0
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,yosys,directive,on,370.4,yes,2.7,5,5,610,29,3178.0224,,8.22,2.0
